store_id,product_id,warehouse,store_inventory,reorder_level,safety_stock,stock_status
S001,P0001,WH_NORTH,231,92,46,OK
S001,P0002,WH_SOUTH,204,81,40,OK
S001,P0003,WH_WEST,102,40,20,OK
S001,P0004,WH_NORTH,469,187,93,OK
S001,P0005,WH_EAST,166,66,33,OK
S001,P0006,WH_SOUTH,138,55,27,OK
S001,P0007,WH_EAST,359,143,71,OK
S001,P0008,WH_NORTH,380,152,76,OK
S001,P0009,WH_WEST,183,73,36,OK
S001,P0010,WH_SOUTH,108,43,21,OK
S001,P0011,WH_SOUTH,258,103,51,OK
S001,P0012,WH_WEST,66,26,13,OK
S001,P0013,WH_SOUTH,96,38,19,OK
S001,P0014,WH_WEST,193,77,38,OK
S001,P0015,WH_NORTH,379,151,75,OK
S001,P0016,WH_NORTH,363,145,72,OK
S001,P0017,WH_WEST,318,127,63,OK
S001,P0018,WH_SOUTH,241,96,48,OK
S001,P0019,WH_EAST,352,140,70,OK
S001,P0020,WH_EAST,274,109,54,OK
S002,P0001,WH_SOUTH,343,137,68,OK
S002,P0002,WH_WEST,373,149,74,OK
S002,P0003,WH_EAST,445,178,89,OK
S002,P0004,WH_WEST,191,76,38,OK
S002,P0005,WH_WEST,281,112,56,OK
S002,P0006,WH_NORTH,492,196,98,OK
S002,P0007,WH_WEST,460,184,92,OK
S002,P0008,WH_WEST,304,121,60,OK
S002,P0009,WH_SOUTH,113,45,22,OK
S002,P0010,WH_NORTH,157,62,31,OK
S002,P0011,WH_WEST,67,26,13,OK
S002,P0012,WH_EAST,281,112,56,OK
S002,P0013,WH_EAST,389,155,77,OK
S002,P0014,WH_EAST,465,186,93,OK
S002,P0015,WH_SOUTH,197,78,39,OK
S002,P0016,WH_SOUTH,242,96,48,OK
S002,P0017,WH_WEST,398,159,79,OK
S002,P0018,WH_NORTH,234,93,46,OK
S002,P0019,WH_EAST,67,26,13,OK
S002,P0020,WH_WEST,221,88,44,OK
S003,P0001,WH_SOUTH,241,96,48,OK
S003,P0002,WH_WEST,115,46,23,OK
S003,P0003,WH_SOUTH,375,150,75,OK
S003,P0004,WH_SOUTH,153,61,30,OK
S003,P0005,WH_WEST,438,175,87,OK
S003,P0006,WH_NORTH,456,182,91,OK
S003,P0007,WH_NORTH,189,75,37,OK
S003,P0008,WH_NORTH,223,89,44,OK
S003,P0009,WH_SOUTH,381,152,76,OK
S003,P0010,WH_SOUTH,166,66,33,OK
S003,P0011,WH_EAST,292,116,58,OK
S003,P0012,WH_NORTH,311,124,62,OK
S003,P0013,WH_NORTH,51,20,10,OK
S003,P0014,WH_SOUTH,398,159,79,OK
S003,P0015,WH_WEST,445,178,89,OK
S003,P0016,WH_SOUTH,487,194,97,OK
S003,P0017,WH_EAST,429,171,85,OK
S003,P0018,WH_WEST,204,81,40,OK
S003,P0019,WH_EAST,330,132,66,OK
S003,P0020,WH_NORTH,431,172,86,OK
S004,P0001,WH_SOUTH,477,190,95,OK
S004,P0002,WH_NORTH,462,184,92,OK
S004,P0003,WH_WEST,446,178,89,OK
S004,P0004,WH_WEST,437,174,87,OK
S004,P0005,WH_NORTH,397,158,79,OK
S004,P0006,WH_EAST,470,188,94,OK
S004,P0007,WH_WEST,264,105,52,OK
S004,P0008,WH_SOUTH,250,100,50,OK
S004,P0009,WH_NORTH,63,25,12,OK
S004,P0010,WH_EAST,447,178,89,OK
S004,P0011,WH_WEST,205,82,41,OK
S004,P0012,WH_NORTH,349,139,69,OK
S004,P0013,WH_EAST,191,76,38,OK
S004,P0014,WH_WEST,406,162,81,OK
S004,P0015,WH_SOUTH,228,91,45,OK
S004,P0016,WH_SOUTH,263,105,52,OK
S004,P0017,WH_SOUTH,203,81,40,OK
S004,P0018,WH_WEST,143,57,28,OK
S004,P0019,WH_WEST,359,143,71,OK
S004,P0020,WH_WEST,211,84,42,OK
S005,P0001,WH_WEST,111,44,22,OK
S005,P0002,WH_WEST,415,166,83,OK
S005,P0003,WH_NORTH,384,153,76,OK
S005,P0004,WH_WEST,436,174,87,OK
S005,P0005,WH_WEST,180,72,36,OK
S005,P0006,WH_NORTH,185,74,37,OK
S005,P0007,WH_SOUTH,292,116,58,OK
S005,P0008,WH_WEST,478,191,95,OK
S005,P0009,WH_WEST,182,72,36,OK
S005,P0010,WH_EAST,87,34,17,OK
S005,P0011,WH_WEST,427,170,85,OK
S005,P0012,WH_WEST,245,98,49,OK
S005,P0013,WH_SOUTH,317,126,63,OK
S005,P0014,WH_SOUTH,325,130,65,OK
S005,P0015,WH_WEST,411,164,82,OK
S005,P0016,WH_SOUTH,71,28,14,OK
S005,P0017,WH_EAST,388,155,77,OK
S005,P0018,WH_WEST,161,64,32,OK
S005,P0019,WH_SOUTH,235,94,47,OK
S005,P0020,WH_SOUTH,108,43,21,OK
S001,P0001,WH_WEST,116,46,23,OK
S001,P0002,WH_WEST,416,166,83,OK
S001,P0003,WH_SOUTH,488,195,97,OK
S001,P0004,WH_EAST,248,99,49,OK
S001,P0005,WH_EAST,238,95,47,OK
S001,P0006,WH_EAST,471,188,94,OK
S001,P0007,WH_NORTH,178,71,35,OK
S001,P0008,WH_EAST,92,36,18,OK
S001,P0009,WH_SOUTH,99,39,19,OK
S001,P0010,WH_NORTH,171,68,34,OK
S001,P0011,WH_EAST,215,86,43,OK
S001,P0012,WH_EAST,281,112,56,OK
S001,P0013,WH_NORTH,455,182,91,OK
S001,P0014,WH_WEST,84,33,16,OK
S001,P0015,WH_EAST,246,98,49,OK
S001,P0016,WH_WEST,399,159,79,OK
S001,P0017,WH_WEST,242,96,48,OK
S001,P0018,WH_NORTH,478,191,95,OK
S001,P0019,WH_SOUTH,156,62,31,OK
S001,P0020,WH_NORTH,221,88,44,OK
S002,P0001,WH_WEST,402,160,80,OK
S002,P0002,WH_WEST,132,52,26,OK
S002,P0003,WH_WEST,218,87,43,OK
S002,P0004,WH_SOUTH,131,52,26,OK
S002,P0005,WH_NORTH,93,37,18,OK
S002,P0006,WH_EAST,344,137,68,OK
S002,P0007,WH_NORTH,340,136,68,OK
S002,P0008,WH_NORTH,241,96,48,OK
S002,P0009,WH_NORTH,296,118,59,OK
S002,P0010,WH_WEST,472,188,94,OK
S002,P0011,WH_EAST,308,123,61,OK
S002,P0012,WH_NORTH,434,173,86,OK
S002,P0013,WH_NORTH,287,114,57,OK
S002,P0014,WH_WEST,190,76,38,OK
S002,P0015,WH_NORTH,353,141,70,OK
S002,P0016,WH_WEST,210,84,42,OK
S002,P0017,WH_WEST,193,77,38,OK
S002,P0018,WH_EAST,124,49,24,OK
S002,P0019,WH_EAST,492,196,98,OK
S002,P0020,WH_SOUTH,222,88,44,OK
S003,P0001,WH_WEST,277,110,55,OK
S003,P0002,WH_EAST,175,70,35,OK
S003,P0003,WH_EAST,157,62,31,OK
S003,P0004,WH_WEST,120,48,24,OK
S003,P0005,WH_EAST,375,150,75,OK
S003,P0006,WH_EAST,302,120,60,OK
S003,P0007,WH_WEST,375,150,75,OK
S003,P0008,WH_SOUTH,248,99,49,OK
S003,P0009,WH_WEST,219,87,43,OK
S003,P0010,WH_WEST,146,58,29,OK
S003,P0011,WH_SOUTH,218,87,43,OK
S003,P0012,WH_WEST,260,104,52,OK
S003,P0013,WH_WEST,414,165,82,OK
S003,P0014,WH_NORTH,420,168,84,OK
S003,P0015,WH_EAST,435,174,87,OK
S003,P0016,WH_SOUTH,230,92,46,OK
S003,P0017,WH_SOUTH,456,182,91,OK
S003,P0018,WH_EAST,319,127,63,OK
S003,P0019,WH_NORTH,59,23,11,OK
S003,P0020,WH_EAST,155,62,31,OK
S004,P0001,WH_NORTH,144,57,28,OK
S004,P0002,WH_EAST,283,113,56,OK
S004,P0003,WH_EAST,347,138,69,OK
S004,P0004,WH_EAST,410,164,82,OK
S004,P0005,WH_WEST,99,39,19,OK
S004,P0006,WH_EAST,97,38,19,OK
S004,P0007,WH_WEST,339,135,67,OK
S004,P0008,WH_SOUTH,144,57,28,OK
S004,P0009,WH_SOUTH,110,44,22,OK
S004,P0010,WH_SOUTH,348,139,69,OK
S004,P0011,WH_EAST,458,183,91,OK
S004,P0012,WH_SOUTH,403,161,80,OK
S004,P0013,WH_WEST,198,79,39,OK
S004,P0014,WH_EAST,472,188,94,OK
S004,P0015,WH_NORTH,178,71,35,OK
S004,P0016,WH_WEST,215,86,43,OK
S004,P0017,WH_SOUTH,477,190,95,OK
S004,P0018,WH_SOUTH,198,79,39,OK
S004,P0019,WH_NORTH,110,44,22,OK
S004,P0020,WH_NORTH,254,101,50,OK
S005,P0001,WH_EAST,223,89,44,OK
S005,P0002,WH_WEST,100,40,20,OK
S005,P0003,WH_WEST,397,158,79,OK
S005,P0004,WH_NORTH,442,176,88,OK
S005,P0005,WH_WEST,411,164,82,OK
S005,P0006,WH_NORTH,76,30,15,OK
S005,P0007,WH_EAST,257,102,51,OK
S005,P0008,WH_EAST,353,141,70,OK
S005,P0009,WH_WEST,119,47,23,OK
S005,P0010,WH_WEST,403,161,80,OK
S005,P0011,WH_EAST,60,24,12,OK
S005,P0012,WH_WEST,182,72,36,OK
S005,P0013,WH_EAST,455,182,91,OK
S005,P0014,WH_SOUTH,437,174,87,OK
S005,P0015,WH_WEST,289,115,57,OK
S005,P0016,WH_EAST,487,194,97,OK
S005,P0017,WH_NORTH,418,167,83,OK
S005,P0018,WH_WEST,89,35,17,OK
S005,P0019,WH_WEST,421,168,84,OK
S005,P0020,WH_SOUTH,211,84,42,OK
S001,P0001,WH_WEST,154,61,30,OK
S001,P0002,WH_EAST,282,112,56,OK
S001,P0003,WH_SOUTH,183,73,36,OK
S001,P0004,WH_EAST,239,95,47,OK
S001,P0005,WH_WEST,368,147,73,OK
S001,P0006,WH_SOUTH,57,22,11,OK
S001,P0007,WH_SOUTH,460,184,92,OK
S001,P0008,WH_WEST,214,85,42,OK
S001,P0009,WH_SOUTH,407,162,81,OK
S001,P0010,WH_WEST,51,20,10,OK
S001,P0011,WH_EAST,252,100,50,OK
S001,P0012,WH_EAST,72,28,14,OK
S001,P0013,WH_SOUTH,194,77,38,OK
S001,P0014,WH_SOUTH,302,120,60,OK
S001,P0015,WH_NORTH,330,132,66,OK
S001,P0016,WH_EAST,148,59,29,OK
S001,P0017,WH_NORTH,315,126,63,OK
S001,P0018,WH_EAST,97,38,19,OK
S001,P0019,WH_SOUTH,240,96,48,OK
S001,P0020,WH_NORTH,178,71,35,OK
S002,P0001,WH_NORTH,405,162,81,OK
S002,P0002,WH_NORTH,200,80,40,OK
S002,P0003,WH_WEST,327,130,65,OK
S002,P0004,WH_NORTH,409,163,81,OK
S002,P0005,WH_WEST,327,130,65,OK
S002,P0006,WH_NORTH,388,155,77,OK
S002,P0007,WH_SOUTH,483,193,96,OK
S002,P0008,WH_SOUTH,70,28,14,OK
S002,P0009,WH_SOUTH,288,115,57,OK
S002,P0010,WH_WEST,270,108,54,OK
S002,P0011,WH_NORTH,217,86,43,OK
S002,P0012,WH_WEST,221,88,44,OK
S002,P0013,WH_WEST,303,121,60,OK
S002,P0014,WH_WEST,298,119,59,OK
S002,P0015,WH_WEST,193,77,38,OK
S002,P0016,WH_SOUTH,205,82,41,OK
S002,P0017,WH_WEST,427,170,85,OK
S002,P0018,WH_SOUTH,365,146,73,OK
S002,P0019,WH_NORTH,111,44,22,OK
S002,P0020,WH_SOUTH,271,108,54,OK
S003,P0001,WH_NORTH,134,53,26,OK
S003,P0002,WH_NORTH,405,162,81,OK
S003,P0003,WH_WEST,290,116,58,OK
S003,P0004,WH_SOUTH,403,161,80,OK
S003,P0005,WH_EAST,311,124,62,OK
S003,P0006,WH_NORTH,448,179,89,OK
S003,P0007,WH_WEST,277,110,55,OK
