date,product_id,planned_qty,produced_qty,production_variance,machine_utilization,downtime_hours,production_status
2022-01-01,1003,1741.0,1717,-24.0,98.62148190695002,1.0,Under Produced
2022-01-02,1004,1213.0,1325,112.0,109.2333058532564,0.0,Over / On Target
2022-01-03,1002,501.0,526,25.0,104.99001996007983,0.5,Over / On Target
2022-01-04,1004,1218.0,1242,24.0,101.9704433497537,1.0,Over / On Target
2022-01-05,1004,1592.0,1518,-74.0,95.35175879396985,1.0,Under Produced
2022-01-06,1005,1382.0,1331,-51.0,96.30969609261939,0.5,Under Produced
2022-01-07,1002,1086.0,1019,-67.0,93.8305709023941,1.0,Under Produced
2022-01-08,1002,2121.0,2206,85.0,104.00754361150402,2.0,Over / On Target
2022-01-09,1002,2159.0,2224,65.0,103.01065308012969,0.5,Over / On Target
2022-01-10,1004,249.0,258,9.0,103.6144578313253,1.0,Over / On Target
2022-01-11,1003,1352.0,1234,-118.0,91.27218934911244,2.0,Under Produced
2022-01-12,1002,1219.0,1311,92.0,107.54716981132076,1.0,Over / On Target
2022-01-13,1004,773.0,823,50.0,106.46830530401034,0.5,Over / On Target
2022-01-14,1005,2114.0,2076,-38.0,98.20245979186376,0.0,Under Produced
2022-01-15,1003,1651.0,1597,-54.0,96.72925499697153,0.5,Under Produced
2022-01-16,1005,1224.0,1184,-40.0,96.73202614379085,0.5,Under Produced
2022-01-17,1003,165.0,161,-4.0,97.57575757575758,1.0,Under Produced
2022-01-18,1004,1267.0,1291,24.0,101.89423835832676,0.5,Over / On Target
2022-01-19,1001,1744.0,1700,-44.0,97.47706422018348,2.0,Under Produced
2022-01-20,1003,1561.0,1551,-10.0,99.35938500960923,0.0,Under Produced
2022-01-21,1005,1562.0,1596,34.0,102.17669654289372,1.0,Over / On Target
2022-01-22,1004,2034.0,1955,-79.0,96.11602753195673,0.5,Under Produced
2022-01-23,1003,966.0,950,-16.0,98.34368530020704,0.5,Under Produced
