date,product_id,region,category,weather_condition,daily_sales,price,promotion
2022-01-01,P0001,North,Groceries,Rainy,127,33.5,0
2022-01-01,P0002,South,Toys,Sunny,150,63.01,0
2022-01-01,P0003,West,Toys,Sunny,65,27.99,1
2022-01-01,P0004,North,Toys,Cloudy,61,32.72,1
2022-01-01,P0005,East,Electronics,Sunny,14,73.64,0
2022-01-01,P0006,South,Groceries,Sunny,128,76.83,1
2022-01-01,P0007,East,Furniture,Rainy,97,34.16,1
2022-01-01,P0008,North,Clothing,Cloudy,312,97.99,0
2022-01-01,P0009,West,Electronics,Cloudy,175,20.74,0
2022-01-01,P0010,South,Toys,Rainy,28,59.99,1
2022-01-01,P0011,South,Furniture,Sunny,150,58.53,1
2022-01-01,P0012,West,Clothing,Snowy,24,58.25,0
2022-01-01,P0013,South,Toys,Cloudy,42,43.6,0
2022-01-01,P0014,West,Clothing,Sunny,12,78.11,0
2022-01-01,P0015,North,Clothing,Snowy,369,92.99,0
2022-01-01,P0016,North,Electronics,Cloudy,255,21.9,1
2022-01-01,P0017,West,Toys,Sunny,246,21.07,0
2022-01-01,P0018,South,Clothing,Cloudy,151,19.57,0
2022-01-01,P0019,East,Clothing,Cloudy,257,73.28,0
2022-01-01,P0020,East,Toys,Cloudy,99,30.24,0
2022-01-01,P0001,South,Groceries,Sunny,104,32.8,1
2022-01-01,P0002,West,Clothing,Rainy,141,46.16,1
2022-01-01,P0003,East,Furniture,Snowy,182,20.46,1
2022-01-01,P0004,West,Toys,Cloudy,63,26.19,0
2022-01-01,P0005,West,Toys,Rainy,156,83.29,0
2022-01-01,P0006,North,Furniture,Cloudy,250,85.59,0
2022-01-01,P0007,West,Groceries,Sunny,393,91.13,0
2022-01-01,P0008,West,Electronics,Snowy,29,66.96,0
2022-01-01,P0009,South,Clothing,Rainy,9,81.29,1
2022-01-01,P0010,North,Electronics,Snowy,126,60.84,1
2022-01-01,P0011,West,Groceries,Snowy,13,34.62,1
2022-01-01,P0012,East,Groceries,Rainy,25,19.56,1
2022-01-01,P0013,East,Clothing,Cloudy,283,57.78,0
2022-01-01,P0014,East,Electronics,Cloudy,359,91.28,0
2022-01-01,P0015,South,Toys,Sunny,129,59.9,1
2022-01-01,P0016,South,Toys,Rainy,63,45.65,1
2022-01-01,P0017,West,Groceries,Cloudy,373,11.71,1
2022-01-01,P0018,North,Groceries,Cloudy,160,58.84,0
2022-01-01,P0019,East,Toys,Sunny,15,84.99,1
2022-01-01,P0020,West,Toys,Rainy,101,87.1,1
2022-01-01,P0001,South,Toys,Sunny,147,67.21,1
2022-01-01,P0002,West,Electronics,Sunny,4,28.2,1
2022-01-01,P0003,South,Groceries,Sunny,77,56.16,1
2022-01-01,P0004,South,Toys,Rainy,31,89.53,1
2022-01-01,P0005,West,Clothing,Sunny,325,97.95,0
2022-01-01,P0006,North,Groceries,Rainy,163,76.37,1
2022-01-01,P0007,North,Electronics,Rainy,34,86.99,1
2022-01-01,P0008,North,Toys,Cloudy,47,66.53,1
2022-01-01,P0009,South,Groceries,Snowy,15,74.86,1
2022-01-01,P0010,South,Groceries,Rainy,126,97.09,1
2022-01-01,P0011,East,Toys,Snowy,232,56.19,1
2022-01-01,P0012,North,Electronics,Cloudy,175,90.38,0
2022-01-01,P0013,North,Furniture,Cloudy,17,73.98,1
2022-01-01,P0014,South,Electronics,Rainy,369,79.03,0
2022-01-01,P0015,West,Clothing,Snowy,260,27.72,0
2022-01-01,P0016,South,Groceries,Rainy,347,98.18,0
2022-01-01,P0017,East,Clothing,Cloudy,150,27.1,1
2022-01-01,P0018,West,Toys,Snowy,70,97.08,1
2022-01-01,P0019,East,Clothing,Cloudy,249,26.71,1
2022-01-01,P0020,North,Electronics,Cloudy,370,95.85,1
2022-01-01,P0001,South,Toys,Sunny,271,15.62,0
2022-01-01,P0002,North,Clothing,Sunny,180,41.13,0
2022-01-01,P0003,West,Clothing,Cloudy,344,89.32,0
2022-01-01,P0004,West,Groceries,Sunny,0,87.23,0
2022-01-01,P0005,North,Groceries,Snowy,200,81.72,1
2022-01-01,P0006,East,Electronics,Snowy,382,41.35,0
2022-01-01,P0007,West,Electronics,Cloudy,190,67.26,0
2022-01-01,P0008,South,Furniture,Snowy,51,85.88,1
2022-01-01,P0009,North,Furniture,Rainy,40,59.23,1
2022-01-01,P0010,East,Groceries,Cloudy,104,33.48,0
2022-01-01,P0011,West,Electronics,Sunny,46,54.84,1
2022-01-01,P0012,North,Electronics,Rainy,9,14.25,1
2022-01-01,P0013,East,Furniture,Sunny,56,61.81,0
2022-01-01,P0014,West,Electronics,Snowy,63,66.94,1
2022-01-01,P0015,South,Clothing,Cloudy,181,60.54,0
2022-01-01,P0016,South,Groceries,Rainy,94,94.26,0
2022-01-01,P0017,South,Electronics,Rainy,46,25.55,0
2022-01-01,P0018,West,Groceries,Cloudy,8,16.73,1
2022-01-01,P0019,West,Groceries,Rainy,172,71.2,1
2022-01-01,P0020,West,Clothing,Snowy,68,11.5,0
2022-01-01,P0001,West,Toys,Cloudy,77,70.33,0
2022-01-01,P0002,West,Clothing,Snowy,298,57.15,1
2022-01-01,P0003,North,Electronics,Sunny,64,36.17,0
2022-01-01,P0004,West,Furniture,Snowy,300,50.77,1
2022-01-01,P0005,West,Clothing,Rainy,21,92.86,1
2022-01-01,P0006,North,Groceries,Cloudy,176,60.76,0
2022-01-01,P0007,South,Clothing,Snowy,131,46.47,0
