date,product_id,product_category,region,daily_sales,price,promotion,weekday
2022-01-01,1003,Household,Urban,1583,5.190661374,0,5
2022-01-02,1004,Personal Care,Urban,1103,8.949595985,0,6
2022-01-03,1002,Dairy,Rural,455,4.867987327,0,0
2022-01-04,1004,Personal Care,Urban,1107,16.96859572,1,1
2022-01-05,1004,Personal Care,Rural,1447,4.309673395,1,2
2022-01-06,1005,Snacks,Urban,1256,19.25483048,1,3
2022-01-07,1002,Dairy,Semi-Urban,987,8.902239957,0,4
2022-01-08,1002,Dairy,Rural,1928,17.07866055,0,5
2022-01-09,1002,Dairy,Rural,1963,12.94653155,1,6
2022-01-10,1004,Personal Care,Urban,226,14.97165567,1,0
2022-01-11,1003,Household,Rural,1229,15.58675387,0,1
2022-01-12,1002,Dairy,Rural,1108,10.59205276,0,2
2022-01-13,1004,Personal Care,Semi-Urban,703,11.32270994,0,3
2022-01-14,1005,Snacks,Semi-Urban,1922,10.76592149,0,4
2022-01-15,1003,Household,Urban,1501,12.17310918,1,5
2022-01-16,1005,Snacks,Semi-Urban,1113,1.558494469,0,6
2022-01-17,1003,Household,Urban,150,8.514788227,0,0
2022-01-18,1004,Personal Care,Urban,1152,12.51758556,0,1
2022-01-19,1001,Beverages,Urban,1585,12.35674774,1,2
2022-01-20,1003,Household,Rural,1419,16.0661658,1,3
2022-01-21,1005,Snacks,Semi-Urban,1420,13.44517744,0,4
2022-01-22,1004,Personal Care,Urban,1849,19.85053301,0,5
2022-01-23,1003,Household,Semi-Urban,878,6.393236044,0,6
2022-01-24,1001,Beverages,Urban,1530,7.823869564,1,0
2022-01-25,1001,Beverages,Semi-Urban,1892,8.293095885,1,1
2022-01-26,1002,Dairy,Semi-Urban,913,9.850443333,1,2
2022-01-27,1002,Dairy,Urban,1736,16.88396321,0,3
2022-01-28,1005,Snacks,Rural,1528,5.480049785,1,4
2022-01-29,1003,Household,Semi-Urban,1469,15.74400393,0,5
2022-01-30,1003,Household,Rural,1745,8.700893479,0,6
2022-01-31,1002,Dairy,Rural,519,12.43525229,0,0
2022-02-01,1003,Household,Urban,1305,13.01827013,1,1
2022-02-02,1003,Household,Urban,1082,8.084124107,0,2
2022-02-03,1001,Beverages,Urban,924,10.7396889,1,3
2022-02-04,1002,Dairy,Semi-Urban,1124,8.847592318,1,4
2022-02-05,1004,Personal Care,Urban,1954,2.313522938,0,5
2022-02-06,1002,Dairy,Urban,666,9.306142388,0,6
2022-02-07,1004,Personal Care,Semi-Urban,470,2.850474459,1,0
2022-02-08,1001,Beverages,Semi-Urban,1035,8.695395183,0,1
2022-02-09,1005,Snacks,Urban,760,12.2654496,1,2
2022-02-10,1003,Household,Urban,1554,12.00888309,0,3
2022-02-11,1001,Beverages,Urban,1068,13.5898043,1,4
2022-02-12,1003,Household,Urban,1432,2.809968651,1,5
2022-02-13,1005,Snacks,Rural,1260,13.39034167,1,6
2022-02-14,1005,Snacks,Rural,301,6.930813077,1,0
2022-02-15,1001,Beverages,Urban,1559,8.581872977,0,1
2022-02-16,1005,Snacks,Rural,412,17.30173882,0,2
2022-02-17,1004,Personal Care,Semi-Urban,216,1.171577678,1,3
2022-02-18,1005,Snacks,Rural,1789,12.17984003,1,4
2022-02-19,1003,Household,Rural,1036,12.37556562,0,5
2022-02-20,1003,Household,Urban,1926,8.536535751,0,6
2022-02-21,1003,Household,Rural,674,5.503529285,0,0
2022-02-22,1003,Household,Rural,343,5.458806727,0,1
2022-02-23,1004,Personal Care,Rural,636,17.79048372,0,2
2022-02-24,1002,Dairy,Rural,1725,9.398463102,0,3
2022-02-25,1001,Beverages,Semi-Urban,174,7.286897897,1,4
2022-02-26,1003,Household,Urban,1929,9.526773903,0,5
